卫视,#genre#

湖南卫视,http://192.168.20.33:4000/rtp/239.93.0.88:5140
江苏卫视,http://192.168.20.33:4000/rtp/239.93.0.89:5140
浙江卫视,http://192.168.20.33:4000/rtp/239.93.0.124:5140
东方卫视,http://192.168.20.33:4000/rtp/239.93.0.123:5140
北京卫视,http://192.168.20.33:4000/rtp/239.93.0.180:5140
深圳卫视,http://192.168.20.33:4000/rtp/239.93.0.182:5140
四川卫视,http://192.168.20.33:4000/rtp/239.93.0.169:5140
天津卫视,http://192.168.20.33:4000/rtp/239.93.0.167:5140
湖北卫视,http://192.168.20.33:4000/rtp/239.93.0.250:5140
广东卫视,http://192.168.20.33:4000/rtp/239.93.0.181:5140
山东卫视,http://192.168.20.33:4000/rtp/239.93.0.168:5140
黑龙江卫视,http://192.168.20.33:4000/rtp/239.93.0.183:5140
重庆卫视,http://192.168.20.33:4000/rtp/239.93.1.107:5140
东南卫视,http://192.168.20.33:4000/rtp/239.93.0.42:5140
江西卫视,http://192.168.20.33:4000/rtp/239.93.0.134:5140
贵州卫视,http://192.168.20.33:4000/rtp/239.93.0.131:5140
河北卫视,http://192.168.20.33:4000/rtp/239.93.0.132:5140
安徽卫视,http://192.168.20.33:4000/rtp/239.93.1.106:5140
辽宁卫视,http://192.168.20.33:4000/rtp/239.93.1.108:5140
上海纪实,http://192.168.20.33:4000/rtp/239.93.1.137:5140
金鹰纪实,http://192.168.20.33:4000/rtp/239.93.0.142:5140
河南卫视,http://192.168.20.33:4000/rtp/239.93.42.45:5140
广西卫视,http://192.168.20.33:4000/rtp/239.93.42.46:5140
吉林卫视,http://192.168.20.33:4000/rtp/239.93.0.86:5140
陕西卫视,http://192.168.20.33:4000/rtp/239.93.0.176:5140
陕西农林,http://192.168.20.33:4000/rtp/239.93.0.100:5140
山西卫视,http://192.168.20.33:4000/rtp/239.93.0.6:5140
内蒙古卫视,http://192.168.20.33:4000/rtp/239.93.0.8:5140
青海卫视,http://192.168.20.33:4000/rtp/239.93.0.192:5140
宁夏卫视,http://192.168.20.33:4000/rtp/239.93.0.247:5140
西藏卫视,http://192.168.20.33:4000/rtp/239.93.0.175:5140
新疆卫视,http://192.168.20.33:4000/rtp/239.93.0.194:5140
甘肃卫视,http://192.168.20.33:4000/rtp/239.93.0.191:5140
兵团卫视,http://192.168.20.33:4000/rtp/239.93.42.43:5140
海南卫视,http://192.168.20.33:4000/rtp/239.93.0.80:5140
