四川,#genre#

CDTV1,http://192.168.20.33:4000/rtp/239.93.1.210:2178
CDTV2,http://192.168.20.33:4000/rtp/239.93.0.17:1239
CDTV3,http://192.168.20.33:4000/rtp/239.93.0.18:1238
CDTV4,http://192.168.20.33:4000/rtp/239.93.0.19:1250
CDTV5,http://192.168.20.33:4000/rtp/239.93.1.231:5140
CDTV6,http://192.168.20.33:4000/rtp/239.93.0.21:1251
CDTV8,http://192.168.20.33:4000/rtp/239.93.0.22:1252
SCTV2,http://192.168.20.33:4000/rtp/239.93.1.101:5140
SCTV3,http://192.168.20.33:4000/rtp/239.93.1.102:5140
SCTV4,http://192.168.20.33:4000/rtp/239.93.0.47:5140
SCTV5,http://192.168.20.33:4000/rtp/239.93.0.166:5140
SCTV6,http://192.168.20.33:4000/rtp/239.93.1.144:5140
SCTV7,http://192.168.20.33:4000/rtp/239.93.0.219:5140
SCTV8,http://192.168.20.33:4000/rtp/239.93.42.44:5140
SCTV9,http://192.168.20.33:4000/rtp/239.93.0.245:5140
康巴卫视,http://192.168.20.33:4000/rtp/239.93.0.125:5140
峨眉电影,http://192.168.20.33:4000/rtp/239.93.1.54:5140
爱温江,http://192.168.20.33:4000/rtp/239.93.1.50:5140
睛彩四川,http://192.168.20.33:4000/rtp/239.93.0.126:5140
成都大运高清,http://192.168.20.33:4000/rtp/239.93.0.224:1281
康巴卫视高清,http://192.168.20.33:4000/rtp/239.93.0.41:5140
熊猫新闻高清,http://192.168.20.33:4000/rtp/239.93.1.112:5140
熊猫体娱高清,http://192.168.20.33:4000/rtp/239.93.0.94:5140
熊猫少儿高清,http://192.168.20.33:4000/rtp/239.93.1.189:5140
熊猫爱生活高清,http://192.168.20.33:4000/rtp/239.93.1.190:5140
熊猫影院高清,http://192.168.20.33:4000/rtp/239.93.0.214:5140
金熊猫卡通高清,http://192.168.20.33:4000/rtp/239.93.1.172:5140
收视导视高清,http://192.168.20.33:4000/rtp/239.93.1.39:5140
资讯新干线,http://192.168.20.33:4000/rtp/239.93.0.236:1283
蓉城先锋,http://192.168.20.33:4000/rtp/239.93.0.91:2101
大爱四川高清,http://192.168.20.33:4000/rtp/239.93.1.110:5140
大爱旅游,http://192.168.20.33:4000/rtp/239.93.1.234:5140
大爱生活,http://192.168.20.33:4000/rtp/239.93.1.235:5140
大爱时尚,http://192.168.20.33:4000/rtp/239.93.1.157:4120
花儿高清电影画中画,http://192.168.20.33:4000/rtp/239.93.0.120:5140
