央视,#genre#

CCTV-1高清,http://192.168.20.33:4000/rtp/239.93.0.184:5140
CCTV-1杜比高清,http://192.168.20.33:4000/rtp/239.93.0.69:5140
CCTV-2高清,http://192.168.20.33:4000/rtp/239.93.1.23:6000
CCTV-3高清,http://192.168.20.33:4000/rtp/239.93.1.11:2223
CCTV-4高清,http://192.168.20.33:4000/rtp/239.93.1.105:5140
CCTV-5高清,http://192.168.20.33:4000/rtp/239.93.1.12:2224
CCTV-5＋高清,http://192.168.20.33:4000/rtp/239.93.1.36:8004
CCTV-6高清,http://192.168.20.33:4000/rtp/239.93.1.13:2226
CCTV-7高清,http://192.168.20.33:4000/rtp/239.93.1.67:5140
CCTV-8高清,http://192.168.20.33:4000/rtp/239.93.1.14:2225
CCTV-9高清,http://192.168.20.33:4000/rtp/239.93.1.24:5140
CCTV-10高清,http://192.168.20.33:4000/rtp/239.93.1.28:5140
CCTV-11高清,http://192.168.20.33:4000/rtp/239.93.0.102:5140
CCTV-12高清,http://192.168.20.33:4000/rtp/239.93.1.30:8124
CCTV-13高清,http://192.168.20.33:4000/rtp/239.93.0.99:5140
CCTV-15高清,http://192.168.20.33:4000/rtp/239.93.0.103:5140
CCTV-17高清,http://192.168.20.33:4000/rtp/239.93.0.92:5140
CCTV-少儿高清,http://192.168.20.33:4000/rtp/239.93.1.29:6000
