CCTV,#genre#
CCTV1,http://192.168.20.34:4000/rtp/239.93.0.58:5140
CCTV2,http://192.168.20.34:4000/rtp/239.93.1.23:6000
CCTV3,http://192.168.20.34:4000/rtp/239.93.0.109:5140
CCTV4,http://192.168.20.34:4000/rtp/239.93.1.105:5140
CCTV5,http://192.168.20.34:4000/rtp/239.93.42.37:5140
CCTV6,http://192.168.20.34:4000/rtp/239.93.42.38:5140
CCTV7,http://192.168.20.34:4000/rtp/239.93.1.67:5140
CCTV8,http://192.168.20.34:4000/rtp/239.93.42.39:5140
CCTV9,http://192.168.20.34:4000/rtp/239.93.1.24:5140
CCTV10,http://192.168.20.34:4000/rtp/239.93.1.28:5140
CCTV11,http://192.168.20.34:4000/rtp/239.93.0.102:5140
CCTV12,http://192.168.20.34:4000/rtp/239.93.1.30:8124
CCTV13,http://192.168.20.34:4000/rtp/239.93.0.66:5140
CCTV少儿,http://192.168.20.34:4000/rtp/239.93.1.29:6000
CCTV15,http://192.168.20.34:4000/rtp/239.93.0.103:5140
CCTV17,http://192.168.20.34:4000/rtp/239.93.0.92:5140
CCTV5＋,http://192.168.20.34:4000/rtp/239.93.1.36:8004
CCTV4K,http://192.168.20.34:4000/rtp/239.93.42.42:5140
CGTN英语,http://192.168.20.34:4000/rtp/239.93.0.104:5140
CETV1,http://192.168.20.34:4000/rtp/239.93.1.111:5140
CETV2,http://192.168.20.34:4000/rtp/239.93.0.113:5140
CETV4,http://192.168.20.34:4000/rtp/239.93.0.50:5140
CGTN西班牙语,http://192.168.20.34:4000/rtp/239.93.42.49:5140
CGTN法语,http://192.168.20.34:4000/rtp/239.93.42.50:5140
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226514/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226473/index.m3u8
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226568/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226571/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226591/index.m3u8
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226476/index.m3u8
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CETV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
CETV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8
CETV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8
CGTN英语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225604/index.m3u8
CGTN西语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226431/index.m3u8
CGTN俄语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226543/index.m3u8
CGTN法语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226520/index.m3u8
CGTN阿语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226517/index.m3u8
CGTN纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225602/index.m3u8
CGTN纪录,https://livedoc.cgtn.com/500d/prog_index.m3u8
CGTN俄语,https://liveru.cgtn.com/1000r/prog_index.m3u8
CGTN法语,https://livefr.cgtn.com/1000f/prog_index.m3u8
CGTN西语,https://livees.cgtn.com/1000e/prog_index.m3u8
CGTN阿语,https://livear.cgtn.com/1000a/prog_index.m3u8
CCTV5+,http://39.134.67.108/PLTV/88888888/224/3221225507/1.m3u8
CCTV16,http://39.134.67.108/PLTV/88888888/224/3221225893/1.m3u8
CCTV6,http://39.134.67.108/PLTV/88888888/224/3221225814/1.m3u8
CCTV5,http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8
CCTV1,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8
CCTV3,http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8
CCTV8,http://39.134.67.108/PLTV/88888888/224/3221225795/1.m3u8
CCTV17,http://39.134.67.108/PLTV/88888888/224/3221225708/1.m3u8
CCTV10,http://39.134.67.108/PLTV/88888888/224/3221225677/1.m3u8
CCTV9,http://39.134.67.108/PLTV/88888888/224/3221225676/1.m3u8
CCTV14,http://39.134.67.108/PLTV/88888888/224/3221225674/1.m3u8
CCTV7,http://39.134.67.108/PLTV/88888888/224/3221225671/1.m3u8
CCTV12,http://39.134.67.108/PLTV/88888888/224/3221225669/1.m3u8
CCTV2,http://39.134.67.108/PLTV/88888888/224/3221225599/1.m3u8
CCTV15,http://39.134.67.108/PLTV/88888888/224/3221225513/1.m3u8
CCTV11,http://39.134.67.108/PLTV/88888888/224/3221225517/1.m3u8
CCTV13,http://39.134.67.108/PLTV/88888888/224/3221225812/1.m3u8
CCTV4,http://39.134.67.108/PLTV/88888888/224/3221225797/1.m3u8
CETV4,http://39.134.67.108/PLTV/88888888/224/3221225750/1.m3u8
CETV1,http://39.134.67.108/PLTV/88888888/224/3221225563/1.m3u8
CGTN英语,http://39.134.67.108/PLTV/88888888/224/3221225510/1.m3u8
CGTN纪录,http://39.134.67.108/PLTV/88888888/224/3221225509/1.m3u8
其他,#genre#
精彩导视,http://192.168.20.34:4000/rtp/239.93.1.39:5140
中国交通,http://192.168.20.34:4000/rtp/239.93.0.142:5140
陕西农林,http://192.168.20.34:4000/rtp/239.93.0.100:5140
北京纪实科教,http://192.168.20.34:4000/rtp/239.93.0.141:5140
上海纪实,http://192.168.20.34:4000/rtp/239.93.1.137:5140
金鹰纪实,http://192.168.20.34:4000/rtp/239.93.0.130:5140
炫动卡通,http://192.168.20.34:4000/rtp/239.93.0.173:5140
嘉佳卡通,http://192.168.20.34:4000/rtp/239.93.0.246:5140
汽摩,http://192.168.20.34:4000/rtp/239.93.0.62:5140
梨园,http://192.168.20.34:4000/rtp/239.93.1.195:5140
家政频道,http://192.168.20.34:4000/rtp/239.93.42.48:5140
经典电影专区,http://192.168.20.34:4000/rtp/239.93.0.57:9024
华语影院专区,http://192.168.20.34:4000/rtp/239.93.42.86:5140
星光院线专区,http://192.168.20.34:4000/rtp/239.93.42.87:5140
全球大片专区,http://192.168.20.34:4000/rtp/239.93.42.90:5140
热播剧场专区,http://192.168.20.34:4000/rtp/239.93.0.56:9020
健康养生专区,http://192.168.20.34:4000/rtp/239.93.42.84:5140
谍战剧场专区,http://192.168.20.34:4000/rtp/239.93.42.91:5140
卡酷动画,http://192.168.20.34:4000/rtp/239.93.42.1:5140
金鹰卡通,http://192.168.20.34:4000/rtp/239.93.0.5:5140
优漫卡通,http://192.168.20.34:4000/rtp/239.93.0.251:5140
宝宝动画专区,http://192.168.20.34:4000/rtp/239.93.42.89:5140
少儿动画专区,http://192.168.20.34:4000/rtp/239.93.0.193:9000
青春动漫专区,http://192.168.20.34:4000/rtp/239.93.0.146:5140
音乐现场专区,http://192.168.20.34:4000/rtp/239.93.0.198:9044
戏曲精选专区,http://192.168.20.34:4000/rtp/239.93.0.144:5140
戏曲专区,http://192.168.20.34:4000/rtp/239.93.0.217:9208
魅力时尚专区,http://192.168.20.34:4000/rtp/239.93.0.190:9012
生活时尚,http://192.168.20.34:4000/rtp/239.93.0.106:5140
财富天下,http://192.168.20.34:4000/rtp/239.93.0.116:9136
百变课堂专区,http://192.168.20.34:4000/rtp/239.93.42.85:5140
电竞天堂专区,http://192.168.20.34:4000/rtp/239.93.1.135:5140
游戏风云,http://192.168.20.34:4000/rtp/239.93.0.136:5140
足球专区,http://192.168.20.34:4000/rtp/239.93.0.197:9040
红色影院专区,http://192.168.20.34:4000/rtp/239.93.0.202:9068
经典剧场专区,http://192.168.20.34:4000/rtp/239.93.0.203:9072
纪实人文,http://192.168.20.34:4000/rtp/239.93.1.154:5140
墨宝专区,http://192.168.20.34:4000/rtp/239.93.0.215:9132
军事专区,http://192.168.20.34:4000/rtp/239.93.0.204:9076
解密专区,http://192.168.20.34:4000/rtp/239.93.0.199:9048
地理专区,http://192.168.20.34:4000/rtp/239.93.0.200:9052
导视专区,http://192.168.20.34:4000/rtp/239.93.0.129:5140
收视指南专区,http://192.168.20.34:4000/rtp/239.93.0.195:8012
蓉城先锋专区,http://192.168.20.34:4000/rtp/239.93.0.91:2101
星空精选专区,http://192.168.20.34:4000/rtp/239.93.1.171:5140
东方财经,http://192.168.20.34:4000/rtp/239.93.1.165:5140
都市剧场,http://192.168.20.34:4000/rtp/239.93.42.30:5140
少儿天地专区,http://192.168.20.34:4000/rtp/239.93.42.34:5140
求索频道,http://192.168.20.34:4000/rtp/239.93.42.24:5140
生活时尚,http://192.168.20.34:4000/rtp/239.93.42.29:5140
环球旅游,http://192.168.20.34:4000/rtp/239.93.42.31:5140
来钓鱼吧专区,http://192.168.20.34:4000/rtp/239.93.42.8:5140
